Case Number,Date,Year,Sex,Type,Species,Country,Area,Location,Activity,Age,Fatal (Y/N),Time,Month
1954.01.30,1954-01-30,1954.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,Avoca Beach,SWIMMING,,N,Unspecified,Jan
1954.01.22.b,1954-01-22,1954.0,M,Unprovoked,Unknown,AUSTRALIA,Torres Strait,Naghir Island,SPEARFISHING,30.0,N,Unspecified,Jan
2009.12.12,2009-12-12,2009.0,,Provoked,WHITE SHARK,AUSTRALIA,New South Wales,Hawks Nest Beach,ON BOAT,,N,day-morning,Dec
2009.06.27,2009-06-27,2009.0,M,Unprovoked,WHALE SHARK,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",SURFING,52.0,N,day-morning,Jun
1953.12.13,1953-12-13,1953.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Palm Beach,OTHER,16.0,N,afternoon,Dec
1953.12.00,,1953.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,Maroubra Beach,SURFING,,N,Unspecified,Dec
1953.10.00,,1953.0,M,Provoked,Unknown,AUSTRALIA,New South Wales,"Boat Harbour, north of Cronulla",,,N,Unspecified,Oct
1953.06.00,,1953.0,M,Provoked,Unknown,AUSTRALIA,Queensland,,OTHER,,N,Unspecified,Jun
1953.04.07,1953-04-07,1953.0,,Provoked,Unknown,AUSTRALIA,New South Wales,1.5 miles off shore,,,N,Unspecified,Apr
1953.03.22,,1953.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Long Reef, Collaroy",SPEARFISHING,23.0,N,Unspecified,Mar
2009.07.30,2009-07-30,2009.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,Broken Head,SURFING,14.0,N,day-morning,Jul
1953.03.19.R,1953-03-19,1953.0,M,Unprovoked,Unknown,AUSTRALIA,South Australia,"Schnapper Rock, Kirton Point",SPEARFISHING,,N,Unspecified,Mar
1989.01.03,1989-01-03,1989.0,M,Unprovoked,TIGER SHARK,AUSTRALIA,New South Wales,"Half Tide Beach, Evans Head",OTHER,17.0,N,afternoon,Jan
1988.11.08,1988-11-08,1988.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,"Off North Keppel Island, off Yeppoon",OTHER,17.0,Y,day-morning,Nov
2009.12.13,2009-12-13,2009.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,Coffee Head,SURFING,39.0,N,day-morning,Dec
1989.10.01,1989-10-01,1989.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,Victoria,"Surfers Point, Phillip Island",SURFING,,Unknown,Unspecified,Oct
1951.03.26,1951-03-26,1951.0,M,Provoked,WOBBEGONG SHARK,AUSTRALIA,New South Wales,Avalon,OTHER,23.0,N,afternoon,Mar
1950.04.09.b,1950-04-09,1950.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Cooper's Point,OTHER,50.0,Y,Unspecified,Apr
1950.03.01,1950-03-01,1950.0,M,Unspecified,Unknown,AUSTRALIA,Western Australia,"City Beach, Perth",OTHER,,Unknown,Unspecified,Mar
1950.02.18.R,1950-02-18,1950.0,M,Unprovoked,CARPET SHARK,AUSTRALIA,Western Australia,"Cottesloe, Perth",SPEARFISHING,,N,Unspecified,Feb
1950.01.12.R,1950-01-12,1950.0,M,Unprovoked,Unknown,AUSTRALIA,Victoria,South Werribee Beach,SWIMMING,,N,Unspecified,Jan
1950.00.00.m,,1950.0,M,Provoked,WHITE SHARK,AUSTRALIA,Tasmania,Triabunna,OTHER,,N,Unspecified,Unk
1989.11.22,1989-11-22,1989.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,Victoria,Kilcunda,SURFING,32.0,N,Unspecified,Nov
1989.12.02,1989-12-02,1989.0,M,Unspecified,Unknown,AUSTRALIA,Queensland,Fraser Island,SWIMMING,27.0,Unknown,Unspecified,Dec
